timestep,episode,env_idx,episode_reward,episode_length,map_completeness,final_ate,mean_ate,path_length,collision_count,map_entropy,loop_closures_validated
200,1,0,-2065.589337,200,1.1403690648973668,56.09495762501859,43.66115028220217,16.930325415328287,128,4702.8768928514,3
400,2,0,-889.920548,200,0.5405405405405406,9.681923591653415,10.482316406452872,15.940518042850357,16,4792.167820719122,5
600,3,0,-826.345003,200,0.40535777229467745,4.07101397158465,6.319884293562081,18.04094014578171,20,4808.961413003089,5
800,4,0,-385.90983,200,0.25220680958385877,33.194594465597284,15.88407231321774,29.53280400799372,16,4795.894580585209,5
1000,5,0,-724.571633,200,1.2426284751474306,31.653479637394145,18.192715110527587,12.988789946651778,5,5170.058131688751,5
1200,6,0,-168.890804,200,0.16987542468856173,25.479145937369097,17.245422674846637,48.891544936390645,8,4536.515982457775,11
1400,7,0,-354.065088,200,0.435126582278481,8.674829857665292,14.714175914227296,38.98528913335138,6,4590.933291216361,9
1600,8,0,-119.157117,200,0.588716271463614,28.998231334667686,17.391875942032716,48.9879475110286,15,4670.691198096656,11
1800,9,0,-379.697696,200,0.8830869648684968,33.513726986732166,21.73871829857762,22.269293667105494,4,5251.357750984573,6
2000,10,0,-1.845636,200,0.17123287671232876,40.41868620126129,21.824903322189293,47.70416404718147,0,4449.958400137442,10
2200,11,0,-62.500154,200,1.3559322033898304,31.012708383799843,17.341731897705397,37.75395719301512,3,4268.511626558934,8
2400,12,0,-238.772329,200,0.21797045289416322,28.28549944770943,12.851483374579232,34.260216250874464,5,4677.601512181648,10
2600,13,0,-798.664371,200,0.38571188998826095,24.186418924174188,11.236410328002435,14.993410051808414,6,4993.317588282565,5
2800,14,0,-540.211991,200,1.7651888341543513,0.7373117208332022,8.449636138622754,31.866821243773657,19,4748.076023303946,8
3000,15,0,-612.37962,200,1.0443864229765014,30.718474378960885,10.089004483812454,23.923090294478833,12,4869.503146866885,7
3272,1,0,-103.44172,200,0.2488077959776073,28.096397437035368,56.20007530864599,55.81519229989545,3,5249.199257063111,10
3472,2,0,62.73461,200,0.184891706286318,58.58556644316738,77.85670966074838,36.13202037172107,0,4209.636569197511,12
3672,3,0,-1579.465875,200,1.329243353783231,2.977948147657273,5.228836411898382,7.893787073309539,31,5503.015070467339,3
3872,4,0,-617.458228,200,1.3256006628003314,21.987067893191135,8.758818798682286,20.678583148637014,4,5036.048331115419,6
4072,5,0,-255.113974,200,0.6621447028423773,38.8418241097039,13.088396130278333,34.821331350980465,2,4531.874008310095,9
4272,6,0,-143.302776,200,0.20876826722338204,35.04805734693949,28.045186546463388,34.10280804639153,4,4911.199372225893,9
4472,7,0,-71.764319,200,0.04657661853749418,30.483441619548937,22.289795546856045,43.12362312875885,1,4487.741113755471,9
4672,8,0,-492.74108,200,1.4282757193127718,10.772316899258485,12.84463611046454,15.353702500509598,1,4838.7098859123635,4
4872,9,0,-204.900802,200,0.5208333333333334,13.554570179671463,11.950260424291098,34.39767073520022,2,4316.871140439411,9
5072,10,0,55.04737,200,0.8866995073891626,32.699044741161636,29.573478826303084,46.008819337834105,0,3985.4842682641333,11
5272,11,0,-117.937833,200,1.2545739675901726,63.27289268843373,53.23017943453242,41.25128666660726,0,4961.1193039090085,10
5472,12,0,-495.247947,200,0.3595685177786656,13.496064668621456,13.068434461463594,31.43188089953828,16,4733.941243907153,8
5672,13,0,-691.14057,200,0.6815471119441131,18.125806303909407,13.387380101003481,14.489247147673872,7,4589.786231968623,5
5872,14,0,-273.393685,200,0.5041338979632991,45.67517045877853,37.907189246180195,42.39430069979553,2,5386.150711511813,10
6072,15,0,-729.240652,200,0.9850789511806461,15.927053049667018,12.836130771344624,15.832192744958755,3,5034.887507938672,6
6344,1,0,-64.558869,200,0.47688160895708065,12.727370796065092,13.845440327336075,51.71058490959088,0,4690.445052699661,12
6544,2,0,-645.267964,200,1.1726501894281076,22.556318705395913,13.434139924011555,18.036333841085046,7,4912.116487829941,7
6744,3,0,-63.016857,200,0.7520510483135825,40.575785470530576,18.15035980693334,45.69227683622925,2,4717.419556984676,12
6944,4,0,-645.103572,200,2.2463354273748335,22.587872825631205,16.094301726988174,27.71386180172253,12,5072.690346257307,7
7144,5,0,12.296304,200,0.8050847457627118,28.428067127293406,14.214806921258733,46.38202896542763,0,4455.174546591253,12
7344,6,0,-150.327024,200,0.8406131531234547,19.446343088005865,18.455136945692033,34.10824630082946,0,4803.421161986705,10
7544,7,0,-569.387943,200,0.7664233576642335,11.903569502587644,8.383333681326786,31.305934570364293,11,4817.817659610942,9
7744,8,0,-9.371455,200,0.9299307958477508,3.3712672648638073,26.64622236223041,44.872785064153646,5,3923.770675252633,11
7944,9,0,-117.972715,200,0.4703328509406657,26.66707608256519,19.162868090171408,30.181529079198548,0,4986.544112346264,9
8144,10,0,-269.412839,200,0.8809523809523809,28.123128726982586,17.52608596019561,43.42640623341354,12,4275.340714537403,10
8344,11,0,-10.560909,200,0.870561282932417,16.312615570846372,13.667883481723981,41.5771256039287,0,4128.460341908663,9
8544,12,0,-196.140775,200,0.9305492510213346,23.501268315213736,11.295266424360939,50.380355190066375,6,3894.985171566033,10
8744,13,0,-578.705614,200,1.831570996978852,19.12297759793783,13.280154349650926,36.51649448104924,31,4599.02105940937,7
8944,14,0,46.173505,200,0.3173687247547605,12.39565899067246,11.950770949368128,57.741961196614504,0,4005.6231275504224,11
9144,15,0,-883.331974,200,2.8284854563691075,10.591087370107832,10.690243332419541,15.960289322618268,39,5054.030705474311,6
9416,1,0,71.44066,200,0.3110097449720091,65.15147803081922,69.3184899342792,66.44244650065598,0,5065.740436467627,12
9616,2,0,-730.065163,200,0.7012888551933283,10.34496891636409,11.114663926224404,20.29986214591278,19,4998.691012372819,7
9816,3,0,-29.296306,200,0.9058352643775016,12.452166272136484,12.514741694853512,61.95726705019424,0,4066.7478413447975,11
10016,4,0,-498.970723,200,0.1817814582912543,7.113992415476621,9.164077648841491,61.07476990523585,31,4636.570088480044,11
10216,5,0,-776.732153,200,0.8244778307072188,14.637040394913946,9.94079325886618,30.78887677158321,52,4994.12535996181,9
10416,6,0,-153.618511,200,0.8283717318146518,10.297993287000763,18.353843969762416,72.92064651321745,19,3250.873733512355,12
10616,7,0,-336.209361,200,0.4144144144144144,42.53688443910881,22.046705605563005,54.330908159492786,28,4331.830449657253,8
10816,8,0,-952.100288,200,0.9536124131242929,11.381360583720152,7.959066942040785,32.555535086193636,53,4855.706925619895,7
